# x,y,z,group (every 3 lines = 1 triangle)
4.054819,0.563065,4.289066,2
3.764381,0.553775,4.466321,2
3.828317,0.562185,5.027315,2
4.054819,0.563065,4.289066,2
3.828317,0.562185,5.027315,2
4.164870,0.570333,4.824531,2
3.764381,0.553775,4.466321,2
3.307116,0.441663,4.689659,2
3.331661,0.451842,5.277839,2
3.764381,0.553775,4.466321,2
3.331661,0.451842,5.277839,2
3.828317,0.562185,5.027315,2
3.828317,0.562185,5.027315,2
3.331661,0.451842,5.277839,2
3.360851,0.441663,5.756138,2
3.828317,0.562185,5.027315,2
3.360851,0.441663,5.756138,2
3.896912,0.553775,5.494173,2
4.164870,0.570333,4.824531,2
3.828317,0.562185,5.027315,2
3.896912,0.553775,5.494173,2
4.164870,0.570333,4.824531,2
3.896912,0.553775,5.494173,2
4.274391,0.563065,5.280969,2
3.307116,0.441663,4.689659,2
3.764381,0.553775,4.466321,2
3.764859,0.528546,3.973553,2
3.307116,0.441663,4.689659,2
3.764859,0.528546,3.973553,2
3.311612,0.411127,4.150980,2
3.764381,0.553775,4.466321,2
4.054819,0.563065,4.289066,2
4.035564,0.541262,3.839849,2
3.764381,0.553775,4.466321,2
4.035564,0.541262,3.839849,2
3.764859,0.528546,3.973553,2
3.764859,0.528546,3.973553,2
4.035564,0.541262,3.839849,2
3.941337,0.430345,3.632362,2
3.764859,0.528546,3.973553,2
3.941337,0.430345,3.632362,2
3.760856,0.394860,3.627496,2
3.311612,0.411127,4.150980,2
3.764859,0.528546,3.973553,2
3.760856,0.394860,3.627496,2
3.311612,0.411127,4.150980,2
3.760856,0.394860,3.627496,2
3.312197,0.238262,3.764542,2
2.029958,0.189204,6.139257,2
2.762774,0.316069,5.973741,2
2.753141,0.328022,5.489665,2
2.029958,0.189204,6.139257,2
2.753141,0.328022,5.489665,2
2.027550,0.202541,5.652972,2
2.762774,0.316069,5.973741,2
3.360851,0.441663,5.756138,2
3.331661,0.451842,5.277839,2
2.762774,0.316069,5.973741,2
3.331661,0.451842,5.277839,2
2.753141,0.328022,5.489665,2
2.753141,0.328022,5.489665,2
3.331661,0.451842,5.277839,2
3.307116,0.441663,4.689659,2
2.753141,0.328022,5.489665,2
3.307116,0.441663,4.689659,2
2.746292,0.316069,4.889633,2
2.027550,0.202541,5.652972,2
2.753141,0.328022,5.489665,2
2.746292,0.316069,4.889633,2
2.027550,0.202541,5.652972,2
2.746292,0.316069,4.889633,2
2.025838,0.189204,5.049801,2
2.031631,-0.077968,6.404427,2
2.769465,0.075288,6.237480,2
2.767623,0.280209,6.183279,2
2.031631,-0.077968,6.404427,2
2.767623,0.280209,6.183279,2
2.031170,0.149193,6.349858,2
2.769465,0.075288,6.237480,2
3.369957,0.238262,6.020974,2
3.370288,0.411127,5.965172,2
2.769465,0.075288,6.237480,2
3.370288,0.411127,5.965172,2
2.767623,0.280209,6.183279,2
2.767623,0.280209,6.183279,2
3.370288,0.411127,5.965172,2
3.360851,0.441663,5.756138,2
2.767623,0.280209,6.183279,2
3.360851,0.441663,5.756138,2
2.762774,0.316069,5.973741,2
2.031170,0.149193,6.349858,2
2.767623,0.280209,6.183279,2
2.762774,0.316069,5.973741,2
2.031170,0.149193,6.349858,2
2.762774,0.316069,5.973741,2
2.029958,0.189204,6.139257,2
0.045677,0.018054,6.282858,2
1.089683,0.073280,6.244959,2
1.089683,0.087215,5.757939,2
0.045677,0.018054,6.282858,2
1.089683,0.087215,5.757939,2
0.045677,0.032090,5.795837,2
1.089683,0.073280,6.244959,2
2.029958,0.189204,6.139257,2
2.027550,0.202541,5.652972,2
1.089683,0.073280,6.244959,2
2.027550,0.202541,5.652972,2
1.089683,0.087215,5.757939,2
1.089683,0.087215,5.757939,2
2.027550,0.202541,5.652972,2
2.025838,0.189204,5.049801,2
1.089683,0.087215,5.757939,2
2.025838,0.189204,5.049801,2
1.089683,0.073280,5.153721,2
0.045677,0.032090,5.795837,2
1.089683,0.087215,5.757939,2
1.089683,0.073280,5.153721,2
0.045677,0.032090,5.795837,2
1.089683,0.073280,5.153721,2
0.045677,0.018054,5.191619,2
0.045677,-0.262676,6.548505,2
1.089683,-0.205409,6.510607,2
1.089683,0.031477,6.455915,2
0.045677,-0.262676,6.548505,2
1.089683,0.031477,6.455915,2
0.045677,-0.024056,6.493813,2
1.089683,-0.205409,6.510607,2
2.031631,-0.077968,6.404427,2
2.031170,0.149193,6.349858,2
1.089683,-0.205409,6.510607,2
2.031170,0.149193,6.349858,2
1.089683,0.031477,6.455915,2
1.089683,0.031477,6.455915,2
2.031170,0.149193,6.349858,2
2.029958,0.189204,6.139257,2
1.089683,0.031477,6.455915,2
2.029958,0.189204,6.139257,2
1.089683,0.073280,6.244959,2
0.045677,-0.024056,6.493813,2
1.089683,0.031477,6.455915,2
1.089683,0.073280,6.244959,2
0.045677,-0.024056,6.493813,2
1.089683,0.073280,6.244959,2
0.045677,0.018054,6.282858,2
-1.940729,-1.227600,6.407072,2
-1.940893,-0.652753,6.425255,2
-2.680574,-0.443850,6.266102,2
-1.940729,-1.227600,6.407072,2
-2.680574,-0.443850,6.266102,2
-2.679919,-0.963233,6.248061,2
-1.940893,-0.652753,6.425255,2
-1.940729,-0.077968,6.407072,2
-2.679919,0.075288,6.248061,2
-1.940893,-0.652753,6.425255,2
-2.679919,0.075288,6.248061,2
-2.680574,-0.443850,6.266102,2
-2.680574,-0.443850,6.266102,2
-2.679919,0.075288,6.248061,2
-3.284057,0.238262,6.053512,2
-2.680574,-0.443850,6.266102,2
-3.284057,0.238262,6.053512,2
-3.284025,-0.198899,6.071777,2
-2.679919,-0.963233,6.248061,2
-2.680574,-0.443850,6.266102,2
-3.284025,-0.198899,6.071777,2
-2.679919,-0.963233,6.248061,2
-3.284025,-0.198899,6.071777,2
-3.284057,-0.634585,6.053512,2
0.045677,-1.469812,6.548505,2
0.045677,-0.866244,6.566736,2
-0.998328,-0.804591,6.528838,2
0.045677,-1.469812,6.548505,2
-0.998328,-0.804591,6.528838,2
-0.998328,-1.403773,6.510607,2
0.045677,-0.866244,6.566736,2
0.045677,-0.262676,6.548505,2
-0.998328,-0.205409,6.510607,2
0.045677,-0.866244,6.566736,2
-0.998328,-0.205409,6.510607,2
-0.998328,-0.804591,6.528838,2
-0.998328,-0.804591,6.528838,2
-0.998328,-0.205409,6.510607,2
-1.940729,-0.077968,6.407072,2
-0.998328,-0.804591,6.528838,2
-1.940729,-0.077968,6.407072,2
-1.940893,-0.652753,6.425255,2
